module,status,runtime,peak_memory,LUT,FF,BRAM,DSP,estimated_period,last_pass,warnings,report_path,log_path
synth_rvc_top,PASS,7.50,1518656,,,,,,Command csynth_design CPU user time,1,/home/lab_726/boom/hls_boom/boom_hls_gate5_3_fetch_buffer_b2_synth_rvc_top/solution_module/syn/report/synth_rvc_top_csynth.rpt,/home/lab_726/boom/hls_boom/reports/gate5_3_fetch_buffer_b2/module_csynth/synth_rvc_top.log
synth_frontend_top,PASS,47.19,1519036,,,,,,Command csynth_design CPU user time,23,/home/lab_726/boom/hls_boom/boom_hls_gate5_3_fetch_buffer_b2_synth_frontend_top/solution_module/syn/report/synth_frontend_top_csynth.rpt,/home/lab_726/boom/hls_boom/reports/gate5_3_fetch_buffer_b2/module_csynth/synth_frontend_top.log
synth_divider_top,PASS,7.39,1518304,,,,,,Command csynth_design CPU user time,13,/home/lab_726/boom/hls_boom/boom_hls_gate5_3_fetch_buffer_b2_synth_divider_top/solution_module/syn/report/synth_divider_top_csynth.rpt,/home/lab_726/boom/hls_boom/reports/gate5_3_fetch_buffer_b2/module_csynth/synth_divider_top.log
synth_mul_top,PASS,6.59,1519056,,,,,,Command csynth_design CPU user time,1,/home/lab_726/boom/hls_boom/boom_hls_gate5_3_fetch_buffer_b2_synth_mul_top/solution_module/syn/report/synth_mul_top_csynth.rpt,/home/lab_726/boom/hls_boom/reports/gate5_3_fetch_buffer_b2/module_csynth/synth_mul_top.log
synth_issue_top,PASS,51.60,1518544,,,,,,Command csynth_design CPU user time,33,/home/lab_726/boom/hls_boom/boom_hls_gate5_3_fetch_buffer_b2_synth_issue_top/solution_module/syn/report/synth_issue_top_csynth.rpt,/home/lab_726/boom/hls_boom/reports/gate5_3_fetch_buffer_b2/module_csynth/synth_issue_top.log
synth_execute_top,PASS,26.82,1518948,,,,,,Command csynth_design CPU user time,28,/home/lab_726/boom/hls_boom/boom_hls_gate5_3_fetch_buffer_b2_synth_execute_top/solution_module/syn/report/synth_execute_top_csynth.rpt,/home/lab_726/boom/hls_boom/reports/gate5_3_fetch_buffer_b2/module_csynth/synth_execute_top.log
synth_completion_top,PASS,170.80,2788388,,,,,,Command csynth_design CPU user time,108,/home/lab_726/boom/hls_boom/boom_hls_gate5_3_fetch_buffer_b2_synth_completion_top/solution_module/syn/report/synth_completion_top_csynth.rpt,/home/lab_726/boom/hls_boom/reports/gate5_3_fetch_buffer_b2/module_csynth/synth_completion_top.log
synth_rob_top,PASS,164.60,2903896,,,,,,Command csynth_design CPU user time,78,/home/lab_726/boom/hls_boom/boom_hls_gate5_3_fetch_buffer_b2_synth_rob_top/solution_module/syn/report/synth_rob_top_csynth.rpt,/home/lab_726/boom/hls_boom/reports/gate5_3_fetch_buffer_b2/module_csynth/synth_rob_top.log
