test,program,run_status,runtime_seconds,log,trace
P5_COMMIT_AND_TRACE_BACKPRESSURE,independent_alu,PASS,6,reports/gate4_0/w4/full_core_rtl_logs/independent_alu_P5_COMMIT_AND_TRACE_BACKPRESSURE.log,reference/rtl_traces/w4/full_core/independent_alu_P5_COMMIT_AND_TRACE_BACKPRESSURE.jsonl
P6_COMMIT_AND_STORE_BACKPRESSURE,tohost,PASS,6,reports/gate4_0/w4/full_core_rtl_logs/tohost_P6_COMMIT_AND_STORE_BACKPRESSURE.log,reference/rtl_traces/w4/full_core/tohost_P6_COMMIT_AND_STORE_BACKPRESSURE.jsonl
P7_REDIRECT_AND_IMEM_RESPONSE,branch_taken,PASS,7,reports/gate4_0/w4/full_core_rtl_logs/branch_taken_P7_REDIRECT_AND_IMEM_RESPONSE.log,reference/rtl_traces/w4/full_core/branch_taken_P7_REDIRECT_AND_IMEM_RESPONSE.jsonl
N0_NORMAL_INDEPENDENT_ALU,independent_alu,PASS,6,reports/gate4_0/w4/full_core_rtl_logs/independent_alu_N0_NORMAL_INDEPENDENT_ALU.log,reference/rtl_traces/w4/full_core/independent_alu_N0_NORMAL_INDEPENDENT_ALU.jsonl
N1_NORMAL_RAW_CHAIN,raw_chain,PASS,7,reports/gate4_0/w4/full_core_rtl_logs/raw_chain_N1_NORMAL_RAW_CHAIN.log,reference/rtl_traces/w4/full_core/raw_chain_N1_NORMAL_RAW_CHAIN.jsonl
N2_NORMAL_BRANCH_TAKEN,branch_taken,PASS,6,reports/gate4_0/w4/full_core_rtl_logs/branch_taken_N2_NORMAL_BRANCH_TAKEN.log,reference/rtl_traces/w4/full_core/branch_taken_N2_NORMAL_BRANCH_TAKEN.jsonl
N3_NORMAL_BRANCH_NOT_TAKEN,branch_not_taken,PASS,7,reports/gate4_0/w4/full_core_rtl_logs/branch_not_taken_N3_NORMAL_BRANCH_NOT_TAKEN.log,reference/rtl_traces/w4/full_core/branch_not_taken_N3_NORMAL_BRANCH_NOT_TAKEN.jsonl
N4_NORMAL_NESTED_BRANCH,nested_branch,PASS,7,reports/gate4_0/w4/full_core_rtl_logs/nested_branch_N4_NORMAL_NESTED_BRANCH.log,reference/rtl_traces/w4/full_core/nested_branch_N4_NORMAL_NESTED_BRANCH.jsonl
N5_NORMAL_LOAD_STORE,load_store,PASS,7,reports/gate4_0/w4/full_core_rtl_logs/load_store_N5_NORMAL_LOAD_STORE.log,reference/rtl_traces/w4/full_core/load_store_N5_NORMAL_LOAD_STORE.jsonl
N6_NORMAL_TOHOST,tohost,PASS,5,reports/gate4_0/w4/full_core_rtl_logs/tohost_N6_NORMAL_TOHOST.log,reference/rtl_traces/w4/full_core/tohost_N6_NORMAL_TOHOST.jsonl
R8_DOUBLE_RUNTIME_RESET,independent_alu,PASS,7,reports/gate4_0/w4/full_core_rtl_logs/independent_alu_R8_DOUBLE_RUNTIME_RESET.log,reference/rtl_traces/w4/full_core/independent_alu_R8_DOUBLE_RUNTIME_RESET.jsonl
R9_RESET_DURING_RESET_INITIALIZATION,independent_alu,PASS,7,reports/gate4_0/w4/full_core_rtl_logs/independent_alu_R9_RESET_DURING_RESET_INITIALIZATION.log,reference/rtl_traces/w4/full_core/independent_alu_R9_RESET_DURING_RESET_INITIALIZATION.jsonl
R10_RESET_IMMEDIATELY_AFTER_RELEASE,independent_alu,PASS,6,reports/gate4_0/w4/full_core_rtl_logs/independent_alu_R10_RESET_IMMEDIATELY_AFTER_RELEASE.log,reference/rtl_traces/w4/full_core/independent_alu_R10_RESET_IMMEDIATELY_AFTER_RELEASE.jsonl
R11_RESET_AFTER_TOHOST_CLEAR_AND_RESTART,tohost,PASS,7,reports/gate4_0/w4/full_core_rtl_logs/tohost_R11_RESET_AFTER_TOHOST_CLEAR_AND_RESTART.log,reference/rtl_traces/w4/full_core/tohost_R11_RESET_AFTER_TOHOST_CLEAR_AND_RESTART.jsonl
