variant,depth,lut,ff,bram_18k,dsp,estimated_period_ns,best_latency,worst_latency,core_cycle,report
d16_auto,16,1181,597,4,0,5.134,1,4,Pipelined=no,/home/lab_726/boom/hls_boom/build/gate5_3_fetch_buffer/b1/csynth/d16_auto/solution/syn/report/synth_fetch_buffer_top_csynth.xml
d2_auto,2,3204,399,0,0,7.162,0,0,Pipelined=no,/home/lab_726/boom/hls_boom/build/gate5_3_fetch_buffer/b1/csynth/d2_auto/solution/syn/report/synth_fetch_buffer_top_csynth.xml
d4_auto,4,16957,2782,0,0,5.834,1,1,Pipelined=no,/home/lab_726/boom/hls_boom/build/gate5_3_fetch_buffer/b1/csynth/d4_auto/solution/syn/report/synth_fetch_buffer_top_csynth.xml
d8_auto,8,1179,846,0,0,4.574,1,4,Pipelined=no,/home/lab_726/boom/hls_boom/build/gate5_3_fetch_buffer/b1/csynth/d8_auto/solution/syn/report/synth_fetch_buffer_top_csynth.xml
d8_bram,8,1153,458,8,0,5.134,1,4,Pipelined=no,/home/lab_726/boom/hls_boom/build/gate5_3_fetch_buffer/b1/csynth/d8_bram/solution/syn/report/synth_fetch_buffer_top_csynth.xml
d8_lutram,8,1179,652,0,0,4.574,1,4,Pipelined=no,/home/lab_726/boom/hls_boom/build/gate5_3_fetch_buffer/b1/csynth/d8_lutram/solution/syn/report/synth_fetch_buffer_top_csynth.xml
d8_payload_reset,8,1362,865,0,0,4.574,2,11,Pipelined=no,/home/lab_726/boom/hls_boom/build/gate5_3_fetch_buffer/b1/csynth/d8_payload_reset/solution/syn/report/synth_fetch_buffer_top_csynth.xml
