top,pf5_LUT,pf5_FF,pf5_BRAM,pf5_DSP,pf5_period_ns,pf6_LUT,pf6_FF,pf6_BRAM,pf6_DSP,pf6_period_ns,LUT_delta,FF_delta,BRAM_delta,DSP_delta,period_delta_ns,verdict
boom_core_top,213436,47337,16,3,6.341,213436,47337,16,3,6.341,0,0,0,0,0.000,PASS
synth_frontend_top,11334,5371,0,0,6.071,11334,5371,0,0,6.071,0,0,0,0,0.000,PASS
synth_predictor_foundation_top,684,465,0,0,2.989,684,465,0,0,2.989,0,0,0,0,0.000,PASS
synth_ftq_top,3006,1358,0,0,3.788,3006,1358,0,0,3.788,0,0,0,0,0.000,PASS
synth_rob_top,34122,8449,1,0,6.548,34122,8449,1,0,6.548,0,0,0,0,0.000,PASS
synth_execute_top,6825,916,8,3,6.411,6825,916,8,3,6.411,0,0,0,0,0.000,PASS
synth_issue_top,18433,5094,0,0,3.567,18433,5094,0,0,3.567,0,0,0,0,0.000,PASS
synth_completion_top,44162,11222,8,0,5.474,44162,11222,8,0,5.474,0,0,0,0,0.000,PASS
synth_core_step_top,199365,44987,17,3,6.341,199365,44987,17,3,6.341,0,0,0,0,0.000,PASS
