program,normalized_status,raw_byte_identical,hls_cpp_sha256,hls_csim_sha256,hls_cpp_bytes,hls_csim_bytes
branch_not_taken,PASS,FALSE,33f6c862095ed355bd9ca001c05790f5f8eb5f8f77e4c768b551b9b33ca567e9,54b783456958d30f5d14a5f0b333ded222a00573aef6938c1feeaa5cc76fed88,6196,6210
branch_taken,PASS,FALSE,a077762baf92052fa247c6b77c95300f050fa5a88aa5aa464c51f8cd5032ea87,9fc3ce5d63f751b83184f4db6a060e45b7c1d5d6f93b5810dd41737d15f49594,5666,5679
independent_alu,PASS,FALSE,4ce04c95ede8693338138fbfab08aecea946654f81833fec216f286ae09dfd14,d072bc99ae91d5bf62c515ae98d5ca6e213896cf5d6256fd9858f8d54b43004b,5241,5253
nested_branch,PASS,FALSE,edecc061821a3782c5c6fefc861ca5b4929379e4414b0045e388f37b1e3042ad,db7bab5bc4ccb33a3ab1ae0ec5d11c99cfc423c6804d7e7f6935dd12a23e7135,6141,6155
raw_chain,PASS,FALSE,7c5adb677a2659cc085167f3d02f25cb6b34e9a4e406e27277f853c5ce27ca62,ccd10b6ea2ff9ead1c1fffe0da5aaca3b345c780571d8d31b64799404dc371fa,5170,5182
load_store,PASS,FALSE,085e8a848f43d963220724d2301fa885818c1127ebadbe4dc5fe861d0da6b888,9805a103529c4fdc9d980c323f7e069bb10cc7c19ce11d942d9cce63d920f3ed,5708,5721
tohost,PASS,FALSE,ac571438918844102c58ac8b5589762af04070c92b9d4650e7085a717cc26ccc,b8cfaf02bfcbfd98c92046e11d4f657994c7c8a362df8af5dddbde3b6842335b,2820,2827
