metric,value,unit,evidence_path,evidence_sha256,commit
directed_passed,28,assertions,reports/gate4_0/w2/regression/logs/w2_dual_grant_tests.log,7cfcc059e732ef14014a254f331c3d040954bc8e0dc3e1b8e11672c5a18f1ef4,210ad1900457b073806a54617d313a2c61a14e21
directed_failed,0,assertions,reports/gate4_0/w2/regression/logs/w2_dual_grant_tests.log,7cfcc059e732ef14014a254f331c3d040954bc8e0dc3e1b8e11672c5a18f1ef4,210ad1900457b073806a54617d313a2c61a14e21
random_seeds,64,seeds,reports/gate4_0/w2/regression/logs/w2_dual_grant_random_tests.log,b90fa70e4529a2fd29bd98a78a66606f5561b0899577c4fe2374102663a5ba32,210ad1900457b073806a54617d313a2c61a14e21
cycles_per_seed,32,cycles,reports/gate4_0/w2/regression/logs/w2_dual_grant_random_tests.log,b90fa70e4529a2fd29bd98a78a66606f5561b0899577c4fe2374102663a5ba32,210ad1900457b073806a54617d313a2c61a14e21
random_cycles,2048,cycles,reports/gate4_0/w2/regression/logs/w2_dual_grant_random_tests.log,b90fa70e4529a2fd29bd98a78a66606f5561b0899577c4fe2374102663a5ba32,210ad1900457b073806a54617d313a2c61a14e21
dual_grants,63,cycles,reports/gate4_0/w2/regression/logs/w2_dual_grant_random_tests.log,b90fa70e4529a2fd29bd98a78a66606f5561b0899577c4fe2374102663a5ba32,210ad1900457b073806a54617d313a2c61a14e21
accepted_grants,382,grants,reports/gate4_0/w2/regression/logs/w2_dual_grant_random_tests.log,b90fa70e4529a2fd29bd98a78a66606f5561b0899577c4fe2374102663a5ba32,210ad1900457b073806a54617d313a2c61a14e21
retained_grants,424,grants,reports/gate4_0/w2/regression/logs/w2_dual_grant_random_tests.log,b90fa70e4529a2fd29bd98a78a66606f5561b0899577c4fe2374102663a5ba32,210ad1900457b073806a54617d313a2c61a14e21
dropped_grants,0,grants,reports/gate4_0/w2/regression/logs/w2_dual_grant_random_tests.log,b90fa70e4529a2fd29bd98a78a66606f5561b0899577c4fe2374102663a5ba32,210ad1900457b073806a54617d313a2c61a14e21
