variant,top,part,target_period_ns,estimated_period_ns,timing_margin_ns,lut,ff,bram_18k,dsp,uram,pipeline_type,w2_baseline_lut,lut_delta_vs_w2,w2_baseline_ff,ff_delta_vs_w2,w2_baseline_bram_18k,bram_18k_delta_vs_w2,w2_baseline_dsp,dsp_delta_vs_w2,runtime_seconds,peak_memory_kb,evidence_xml
GATE4_0_W3,synth_issue_top,xczu7ev-ffvc1156-2-e,10.00,4.570,5.430,15105,4699,0,0,0,no,15079,26,4608,91,0,0,0,0,21.88,1521784,reports/gate4_0/w3/csynth/synth_issue_top/synth_issue_top_csynth.xml
GATE4_0_W3,synth_execute_top,xczu7ev-ffvc1156-2-e,10.00,5.081,4.919,1486,861,4,3,0,no,,,,,,,,,12.27,1521112,reports/gate4_0/w3/csynth/synth_execute_top/synth_execute_top_csynth.xml
GATE4_0_W3,synth_rob_top,xczu7ev-ffvc1156-2-e,10.00,1.829,8.171,144,46,0,0,0,no,,,,,,,,,30.62,1521636,reports/gate4_0/w3/csynth/synth_rob_top/synth_rob_top_csynth.xml
GATE4_0_W3,synth_lsu_top,xczu7ev-ffvc1156-2-e,10.00,3.474,6.526,129,102,0,0,0,no,,,,,,,,,22.11,1521556,reports/gate4_0/w3/csynth/synth_lsu_top/synth_lsu_top_csynth.xml
GATE4_0_W3,boom_core_top,xczu7ev-ffvc1156-2-e,10.00,5.898,4.102,68055,16149,15,3,0,no,61760,6295,15213,936,12,3,3,0,101.70,1521752,reports/gate4_0/w3/csynth/boom_core_top/boom_core_top_csynth.xml
