top,status,LUT,FF,BRAM_18K,DSP,period_ns,PipelineType,evidence
boom_core_top,PASS,171540,33704,16,3,6.341,no,/tmp/boom_hls/pf1/boom_hls_gate5_4_pf1_final2_boom_core_top/solution_module/syn/report/boom_core_top_csynth.rpt
synth_core_step_top,PASS,163412,33297,16,3,6.341,no,/tmp/boom_hls/pf1/boom_hls_gate5_4_pf1_final2_synth_core_step_top/solution_module/syn/report/synth_core_step_top_csynth.rpt
synth_frontend_top,PASS,7824,4430,0,0,6.071,no,/tmp/boom_hls/pf1/boom_hls_gate5_4_pf1_final2_synth_frontend_top/solution_module/syn/report/synth_frontend_top_csynth.rpt
synth_exception_recovery_top,PASS,0,0,0,0,0.000,no,/tmp/boom_hls/pf1/boom_hls_gate5_4_pf1_final2_synth_exception_recovery_top/solution_module/syn/report/synth_exception_recovery_top_csynth.rpt
