cycle,frontend_pc,imem_req_valid,imem_req_ready,imem_req_fire,request_addr,request_fetch_id,request_epoch,outstanding_valid,response_valid,response_ready,response_fire,response_match_id,response_match_epoch,response_match_addr,decode_hold_valid,decode_ready,decode_fire,rename_fire,dispatch_fire,rob_allocate,rob_count,rob_head,rob_tail,commit_valid,redirect_valid,flush_valid,stale_response,reason_no_request
0,65600,1,1,1,65600,0,4294967295,1,1,1,1,1,0,1,0,1,0,0,0,0,32,0,0,0,0,0,1,none
1,65600,0,1,0,0,0,4294967295,1,0,1,0,0,0,0,0,1,0,0,0,0,32,0,0,0,0,0,0,outstanding
2,65600,0,1,0,0,0,4294967295,1,0,1,0,0,0,0,0,1,0,0,0,0,32,0,0,0,0,0,0,outstanding
3,65600,0,1,0,0,0,4294967295,1,0,1,0,0,0,0,0,1,0,0,0,0,32,0,0,0,0,0,0,outstanding
4,65600,0,1,0,0,0,4294967295,1,0,1,0,0,0,0,0,1,0,0,0,0,32,0,0,0,0,0,0,outstanding
5,65600,0,1,0,0,0,4294967295,1,0,1,0,0,0,0,0,1,0,0,0,0,32,0,0,0,0,0,0,outstanding
