image,top,lq_depth,sq_depth,status,rtl_sentinel,evidence
1,boom_core_top,4,16,REUSED_PASS,ASYMMETRIC_RESET_RTL_STATUS=PASS,/home/lab_726/boom/hls_boom/reports/gate6_0_full_lsu/l1/asymmetric_reset_rtl_matrix.csv
2,g6_l1r_pilot_lq_reuse,8,8,PASS,G6_L1R_STATELESS_PILOT_PASS image=2,/home/lab_726/boom/hls_boom/reports/gate6_0_full_lsu/l1/focused_rtl_redesign/logs/lq_reuse_xsim.log
3,g6_l1r_pilot_stale_response,8,8,PASS,G6_L1R_STATELESS_PILOT_PASS image=3,/home/lab_726/boom/hls_boom/reports/gate6_0_full_lsu/l1/focused_rtl_redesign/logs/stale_response_xsim.log
4,g6_l1r_pilot_branch_squash,8,8,PASS,G6_L1R_STATELESS_PILOT_PASS image=4,/home/lab_726/boom/hls_boom/reports/gate6_0_full_lsu/l1/focused_rtl_redesign/logs/branch_squash_xsim.log
5,g6_l1r_pilot_sq_identity,8,8,PASS,G6_L1R_STATELESS_PILOT_PASS image=5,/home/lab_726/boom/hls_boom/reports/gate6_0_full_lsu/l1/focused_rtl_redesign/logs/sq_identity_xsim.log
6,g6_l1r_pilot_older_store_block,8,8,PASS,G6_L1R_STATELESS_PILOT_PASS image=6,/home/lab_726/boom/hls_boom/reports/gate6_0_full_lsu/l1/focused_rtl_redesign/logs/older_store_block_xsim.log
