module,status,runtime_seconds,peak_memory_kb,estimated_period_ns,lut,ff,bram_18k,dsp,latency,interval,automatic_partition_count,warning_count,report_path
synth_free_list_rollback_top,PASS,23.85,1521296,2.203,11707,6284,1,0,?..?,?..?,90,21,/home/lab_726/boom/hls_boom/boom_hls_gate3_5_D4_IQ_COMPACTION_synth_free_list_rollback_top/solution_module/syn/report/synth_free_list_rollback_top_csynth.rpt
synth_core_step_top,PASS,62.27,1521704,5.898,52835,14086,12,3,?..?,?..?,342,163,/home/lab_726/boom/hls_boom/boom_hls_gate3_5_D4_IQ_COMPACTION_synth_core_step_top/solution_module/syn/report/synth_core_step_top_csynth.rpt
boom_core_top,PASS,73.40,1521588,5.898,90802,18590,16,3,?..?,?..?,0,60,/home/lab_726/boom/hls_boom/boom_hls_gate3_5_D4_IQ_COMPACTION_boom_core_top/solution_module/syn/report/boom_core_top_csynth.rpt
