gate,component,rtl_module,data_width,address_width,address_range,ports,rtl_storage,complete_partition,bram_inferred_by_summary,path,evidence_kind,notes
gate3_2,other,boom_core_top_boom_core_cycle_io_state_issue_issued_valids_RAM_AUTO_1R1W,1,2,3,1R1W,reg_array_ram,false,false,boom_hls_gate3_2_baseline/solution_baseline/syn/verilog/boom_core_top_boom_core_cycle_io_state_issue_issued_valids_RAM_AUTO_1R1W.v,RTL_INSTANCE,Generated HLS field RAM
gate3_2,busy_table,boom_core_top_boom_core_cycle_io_state_rename_int_free_list_busy_table_RAM_AUTO_0R0W,1,6,52,0R0W,reg_array_ram,false,false,boom_hls_gate3_2_baseline/solution_baseline/syn/verilog/boom_core_top_boom_core_cycle_io_state_rename_int_free_list_busy_table_RAM_AUTO_0R0W.v,RTL_INSTANCE,Integer physical register readiness bitmap
gate3_2,free_list,boom_core_top_boom_core_cycle_io_state_rename_int_free_list_free_list_RAM_AUTO_1R1W,8,6,52,1R1W,reg_array_ram,false,false,boom_hls_gate3_2_baseline/solution_baseline/syn/verilog/boom_core_top_boom_core_cycle_io_state_rename_int_free_list_free_list_RAM_AUTO_1R1W.v,RTL_INSTANCE,Integer free-list queue storage
gate3_2,rename_map_table,boom_core_top_boom_core_cycle_io_state_rename_int_map_table_map_table_RAM_AUTO_1R1W,8,5,32,1R1W,reg_array_ram,false,false,boom_hls_gate3_2_baseline/solution_baseline/syn/verilog/boom_core_top_boom_core_cycle_io_state_rename_int_map_table_map_table_RAM_AUTO_1R1W.v,RTL_INSTANCE,Integer rename map storage
gate3_2,rob,boom_core_top_boom_core_cycle_io_state_rob_entries_memory_address_RAM_AUTO_1R1W,64,5,32,1R1W,reg_array_ram,false,false,boom_hls_gate3_2_baseline/solution_baseline/syn/verilog/boom_core_top_boom_core_cycle_io_state_rob_entries_memory_address_RAM_AUTO_1R1W.v,RTL_INSTANCE,ROB entry field storage
gate3_2,rob,boom_core_top_boom_core_cycle_io_state_rob_entries_memory_mask_RAM_AUTO_1R1W,5,5,32,1R1W,reg_array_ram,false,false,boom_hls_gate3_2_baseline/solution_baseline/syn/verilog/boom_core_top_boom_core_cycle_io_state_rob_entries_memory_mask_RAM_AUTO_1R1W.v,RTL_INSTANCE,ROB entry field storage
gate3_2,rob,boom_core_top_boom_core_cycle_io_state_rob_entries_memory_size_RAM_AUTO_1R1W,8,5,32,1R1W,reg_array_ram,false,false,boom_hls_gate3_2_baseline/solution_baseline/syn/verilog/boom_core_top_boom_core_cycle_io_state_rob_entries_memory_size_RAM_AUTO_1R1W.v,RTL_INSTANCE,ROB entry field storage
gate3_2,rob,boom_core_top_boom_core_cycle_io_state_rob_entries_memory_transaction_id_RAM_AUTO_0R0W,32,5,32,0R0W,reg_array_ram,false,false,boom_hls_gate3_2_baseline/solution_baseline/syn/verilog/boom_core_top_boom_core_cycle_io_state_rob_entries_memory_transaction_id_RAM_AUTO_0R0W.v,RTL_INSTANCE,ROB entry field storage
gate3_2,rob,boom_core_top_boom_core_cycle_io_state_rob_entries_uop_exc_cause_RAM_AUTO_0R0W,64,5,32,0R0W,reg_array_ram,false,false,boom_hls_gate3_2_baseline/solution_baseline/syn/verilog/boom_core_top_boom_core_cycle_io_state_rob_entries_uop_exc_cause_RAM_AUTO_0R0W.v,RTL_INSTANCE,ROB entry field storage
gate3_2,rob,boom_core_top_boom_core_cycle_io_state_rob_entries_uop_exception_RAM_AUTO_0R0W,1,5,32,0R0W,reg_array_ram,false,false,boom_hls_gate3_2_baseline/solution_baseline/syn/verilog/boom_core_top_boom_core_cycle_io_state_rob_entries_uop_exception_RAM_AUTO_0R0W.v,RTL_INSTANCE,ROB entry field storage
