path,size_bytes,category,tracked_files,dirty_files,accepted_reference,running_process_reference,reproducible,decision,reason
"/home/lab_726/boom/hls_boom/boom_hls_gate5_4_p1_synth_predecode_top",28356608,HLS_WORKSPACE,0,0,true,false,true,KEEP,"path is referenced by accepted report text"
"/home/lab_726/boom/hls_boom/boom_hls_gate5_4_p2_bram_synth_predictor_foundation_top",30674944,HLS_WORKSPACE,0,0,true,false,true,KEEP,"path is referenced by accepted report text"
"/home/lab_726/boom/hls_boom/boom_hls_gate5_4_p2_depth_synth_predictor_foundation_128_top",30662656,HLS_WORKSPACE,0,0,true,false,true,KEEP,"path is referenced by accepted report text"
"/home/lab_726/boom/hls_boom/boom_hls_gate5_4_p2_depth_synth_predictor_foundation_256_top",30666752,HLS_WORKSPACE,0,0,true,false,true,KEEP,"path is referenced by accepted report text"
"/home/lab_726/boom/hls_boom/boom_hls_gate5_4_p2_depth_synth_predictor_foundation_512_top",30683136,HLS_WORKSPACE,0,0,true,false,true,KEEP,"path is referenced by accepted report text"
"/home/lab_726/boom/hls_boom/boom_hls_gate5_4_p2_depth_synth_predictor_foundation_64_top",30674944,HLS_WORKSPACE,0,0,true,false,true,KEEP,"path is referenced by accepted report text"
"/home/lab_726/boom/hls_boom/boom_hls_gate5_4_p2_depth_synth_predictor_foundation_full_reset_top",30707712,HLS_WORKSPACE,0,0,true,false,true,KEEP,"path is referenced by accepted report text"
"/home/lab_726/boom/hls_boom/boom_hls_gate5_4_p2_lutram_synth_predictor_foundation_top",30674944,HLS_WORKSPACE,0,0,true,false,true,KEEP,"path is referenced by accepted report text"
"/home/lab_726/boom/hls_boom/boom_hls_gate5_4_p2_preserve_synth_frontend_top",55353344,HLS_WORKSPACE,0,0,true,false,true,KEEP,"path is referenced by accepted report text"
"/home/lab_726/boom/hls_boom/boom_hls_prefix_trace_csim",9105408,HLS_WORKSPACE,0,0,false,false,true,DELETE,"untracked reproducible tool workspace with no accepted reference or active process"
"/home/lab_726/boom/hls_boom/test_all",21250048,HLS_WORKSPACE,0,0,false,false,true,DELETE,"untracked reproducible tool workspace with no accepted reference or active process"
"/home/lab_726/boom/hls_boom/test_all_min",39751680,HLS_WORKSPACE,0,0,false,false,true,DELETE,"untracked reproducible tool workspace with no accepted reference or active process"
"/home/lab_726/boom/hls_boom/test_all_minstep",1564672,HLS_WORKSPACE,0,0,false,false,true,DELETE,"untracked reproducible tool workspace with no accepted reference or active process"
"/home/lab_726/boom/hls_boom/test_boom",25026560,HLS_WORKSPACE,0,0,false,false,true,DELETE,"untracked reproducible tool workspace with no accepted reference or active process"
"/home/lab_726/boom/hls_boom/test_boom4",21209088,HLS_WORKSPACE,0,0,false,false,true,DELETE,"untracked reproducible tool workspace with no accepted reference or active process"
"/home/lab_726/boom/hls_boom/test_check",49152,HLS_WORKSPACE,0,0,false,false,true,DELETE,"untracked reproducible tool workspace with no accepted reference or active process"
"/home/lab_726/boom/hls_boom/test_comb",1560576,HLS_WORKSPACE,0,0,false,false,true,DELETE,"untracked reproducible tool workspace with no accepted reference or active process"
"/home/lab_726/boom/hls_boom/test_declsonly",47439872,HLS_WORKSPACE,0,0,false,false,true,DELETE,"untracked reproducible tool workspace with no accepted reference or active process"
"/home/lab_726/boom/hls_boom/test_final",21082112,HLS_WORKSPACE,0,0,true,false,true,KEEP,"path is referenced by accepted report text"
"/home/lab_726/boom/hls_boom/test_final2",53157888,HLS_WORKSPACE,0,0,true,false,true,KEEP,"path is referenced by accepted report text"
"/home/lab_726/boom/hls_boom/test_final_audit",674377728,HLS_WORKSPACE,0,0,true,false,true,KEEP,"path is referenced by accepted report text"
"/home/lab_726/boom/hls_boom/test_full_fixed",21254144,HLS_WORKSPACE,0,0,false,false,true,DELETE,"untracked reproducible tool workspace with no accepted reference or active process"
"/home/lab_726/boom/hls_boom/test_fullpipe",21188608,HLS_WORKSPACE,0,0,false,false,true,DELETE,"untracked reproducible tool workspace with no accepted reference or active process"
"/home/lab_726/boom/hls_boom/test_incr",21250048,HLS_WORKSPACE,0,0,false,false,true,DELETE,"untracked reproducible tool workspace with no accepted reference or active process"
"/home/lab_726/boom/hls_boom/test_isolate",25001984,HLS_WORKSPACE,0,0,false,false,true,DELETE,"untracked reproducible tool workspace with no accepted reference or active process"
"/home/lab_726/boom/hls_boom/test_libok",21250048,HLS_WORKSPACE,0,0,false,false,true,DELETE,"untracked reproducible tool workspace with no accepted reference or active process"
